Text,Actual,Predicted
muslim hold ancient key jesus tomb site jerusalem jerusalem reuters dark fall adeeb joudeh muslim make way stone alleyway jerusalem walled old city cradling ancient key one christianity holiest site century ago imposing iron key church holy sepulchre built many christian believe jesus crucified buried entrusted family one jerusalem prominent clan say joudeh date arrangement back time saladin muslim conqueror seized holy city crusader honestly great honor muslim hold key church holy sepulchre important church christendom joudeh said another city oldest muslim family nusseibehs entrusted duty opening closing church door task perform day requires firm finger key cm inch long weighs gram pound historian differ root arrangement researcher say saladin likely bestowed guardianship upon two family order assert muslim dominance christianity city also financial implication tax visitor collected door documentation however go back th century joudeh said displaying dozen fermans royal decree ruler ottoman empire bestowing key custodianship upon family jerusalem old city today house site sacred three major monotheism east jerusalem area captured israel jordan middle east war israel since declared entire city undivided capital status recognized internationally rejected palestinian want east jerusalem capital state hope found joudeh say key year old another copy hold broke century use started learning eight year old handed father son said joudeh year feel church holy sepulchre second home greek orthodox armenian roman catholic denomination share custody church tension often run high control various sector christianity scholar yisca harani said muslim family charge key door help somewhat keeping peace denomination church definitely model coexistence harani said,1,0
breaking iran throw ultimatum …your move barry nuclear industry necessity energy production desalination field medicine agriculture sector iran supreme leader ayatollah ali khameneiso many lie finally time u act lateiran president thursday said tehran sign final nuclear deal unless world power lift economic sanction imposed country immediatelythe united state united kingdom france russia china germany socalled p group reached understanding iran last week limit nuclear program return lifting crippling economic sanction extended talk lausanne switzerlandthe u previously said sanction would lifted phase detail yet negotiatedhowever televised speech thursday president hassan rouhani appeared rule gradual removal successive round sanction hit hard energy financial sector crippled economy sign deal unless sanction lifted day rouhani said according reuters want winwin deal party involved nuclear talk rouhani speaking ceremony mark iran nuclear technology day iranian nation victor negotiation saidthe deal negotiated switzerland say sanction suspended international monitor verify iran abiding limitation set sanction resume iran fails fulfill obligation never position sanction iran removed day one white house spokesman josh earnest said mondayiran supreme leader ayatollah ali khamenei thursday said guarantee full agreement reached end june afp news agency reported done far guarantee agreement content even negotiation continue end said according agency everything detail may side six world power unfair want limit country detail added official say nothing done yet nothing binding neither nuclear industry necessity energy production desalination field medicine agriculture sector negotiator june fill critical detail assure iran get relief sanction soon possible guarantee world power iran develop nuclear weaponrouhani thursday also called end airstrikes saudiled coalition yemen said mistake singling country particular said learned wrong learn later soon making mistake yemen associated press reportedwouldn considered threatrouhani also called ceasefire yemen enable talk end crisis ap said adding call red cross russia ceasefire allow aid wartorn nationon wednesday pentagon said u military begun airrefueling operation coalition conducting airstrikes shiite rebel known houthis continued advance southern port city adenthe pentagon also said united state would expedite delivery ammunition including bomb guidance system saudi coalition membersvia usa today,0,1
clinton worry black grandmother charlotte nc reuters hillary clinton told majorityblack church north carolina sunday know grandchild growing different world many black youth u concerned police shooting gun violence community democratic presidential nominee ’ remark little rock ame zion church charlotte frank acknowledgment impact called “ implicit bias ” policing black community clinton cited death yearold keith scott black man shot police front charlotte apartment complex sept also lamented death yearold terence crutcher shot day tulsa traffic stop shooting led community protest tulsa police officer pleaded guilty manslaughter charge “ ’ grandmother like every grandmother worry safety security grandchild worry black grandmother different deeper fear world grandchild face ” clinton said clinton described testimony taje gaddy zianna oliphant gave last week charlotte city council violence community clinton later summoned oliphant join stage “ ’ able stand grandchild scared worried way many child across country feel right grandchild white grandchild former president secretary state let ’ honest ’ face kind fear heard child testifying city council ” clinton said clinton made gun violence focus presidential campaign mother lost child shooting joined campaign trail clinton said police officer trained recognize implicit bias called official police video charlotte shooting released donald trump republican nominee said rally crutcher ’ shooting looked like done “ everything supposed ” twitter criticized clinton ’ trip charlotte postponed one week behest city ’ mayor chance “ grandstand ” version story refiled fix typographical error paragraph change “ police ” shooting corrects typo headline,1,0
venezuela unrest food scarcity take psychological toll child los teques venezuela reuters venezuelan sibling jeremias victoria pajama preparing go bed tear gas canister smashed family kitchen window early july national guard soldier pelting building highland town near caracas tear gas canister searched opposition activist protesting unpopular president nicolas maduro three month amid scream insult neighbor soldier stormed building arrested dozen youth according child mother gabriela gabriela husband yorth hid kid bedroom closet apartment filled thick gas seven canister crashed guard enter apartment family unable sleep night apartment reeked day kid changed jeremias cried begged leave venezuela younger sister previously even scared dark terrified every time heard loud sound object falling truck thunder would say soldier attacking u cry said gabriela nurse training trigger u get kid otherwise would even worse psychologically month incident family sold could packed three suitcase left venezuela bus around pocket joining drove fleeing country fear reprisal gabriela asked surname country residence published child case highlight lasting psychological toll opec nation economic political crisis youngster venezuela home world largest crude oil reserve spiraled deeper chaos recent year maduro narrowlyelected successor leftist firebrand hugo chavez cracked harder opposition amid painful recession blamed economist socialist government interventionist policy recently month protest demanding early election interrupted school leaving kid holed home exposed violence crippling recession spawned shortage product like milk diaper rapid inflation mean toy school uniform unaffordable poor family recent data examining psychological effect deprivation child teacher psychologist right activist two dozen parent interviewed reuters suggest could heavy toll young age child forced think survival said psychologist abel saraiba caracasbased child protection organization cecodap said around half patient symptom linked crisis child prone anxiety aggression depression could also struggle relate peer see outside world hostile could another hurdle venezuela eventual reconstruction maduro blame opposition traumatizing child others via protest often turned violent hooded demonstrator throwing stone molotov cocktail say government respond request comment done child previous administration pointing youth orchestra sport program vacation camp lack affordable food kilo rice cost around percent monthly minimum wage putting strain child poor family lowincome family little choice bring child rough food line supermarket send work beg parent say childrens game include pretending find food supermarket dramatic case kid suffer malnutrition disease high caracas sprawling petare slum waiter victor cordova juggle three job wife yennifer care three daughter baby boy tiny home girl sometimes wake parent middle night asking food spend much day inquiring governmentsubsidized food box arrive always asking mommy food box coming food box milk get head said yennifer rocking little aaron tell little worry worry studying little sponge absorb everything minority parent appalled oncebooming venezuela collapse misery try hide crisis kid accountant suset gutierrez tell two son decaying industrial town ciudad guayana nighttime gunshot firework party exploding car tire vary story wanted know party said gutierrez whose kid also asked milk pasta home invent cow fallen ill heavy rain country mean wheat outside venezuela gabriela husband used work company administrator found work selling flower cafe see child steadily improving family get economic stability gabriela said seek psychological help happy eldest tell look candy said gabriela laughing someone even suggests possibility going back venezuela start cry,1,0
obama say attack police hurt black life matter cause madrid reuters u president barack obama warned attack police racial bias would hurt antiracism black life matter movement day sniper killed five police officer dallas apparent revenge police shooting black people obama said although activist black life matter movement wanted see better relation community law enforcement violence overly broad criticism police undermined protest movement “ want say say everyone concerned racial bias criminal justice system maintaining truthful serious respectful tone going help mobilize american society bring real change ” obama said “ whenever u concerned failure criminal justice system attack police disservice cause ” told news conference madrid oneday visit micah johnson black u military veteran afghan war opened fire police officer thursday protest dallas fatal shooting two black men police louisiana minnesota previous day johnson wanted “ kill white people especially white officer ” dallas police chief david brown said attack thursday night black life matter group said friday advocated dignity murder response shooting also left seven police officer two civilian wounded obama said legitimate criticism made criminal justice system citizen continue protest “ would hope police organization also respectful frustration people community feel dismiss protest political correctness politics attack police ” said,1,0
colorado judge reject request extend voting time state reuters colorado judge rejected request extend voting time state past pm despite earlier computer glitch according tweet mayor denver ’ office emergency management,1,0
democrat thank harry reid replacing justice scalia neil gorsuch video senate majority leader harry reid used nuclear option call vote change rule senate simple majority call three democrat voting opposition rule change eliminated ability filibuster presidential nominee except united state supreme court way reid said former president barack obama supported reid rule change citing republican used filibuster often historical average order prevent confirmation nomineeswatch democrat explain need nuclear option necessary senate minority leader mitch mcconnell vowed revenge hoped recoup majority senate upcoming election successfully reid decision proved bear short term benefit democrat set precedent mcconnell apply option push president donald trump nominee supreme court neil gorsuch observerthanks encouraged consider filibuster reform done senator harry reid senatorreid november mcconnell recently promised kill filibuster legislation though politico reported argued using nuclear option confirm supreme court nominee neil gorsuch later week merely restores custom senate war judicial nomination flared george w bush administration nuclear option averted several bush court pick reid use allowed several trump nominee barely get confirmation senate simple majority republican used power change rule apply simple majority rule supreme court nomination,0,1
live feed hearing senator session include radical corey booker speaking sessions…unprecedented member statement senator chuck grassley r ia witness introducers honorable richard shelby united state senator state alabamathe honorable susan collins united state senator state mainepanel isenator jeff sessionspanel ii honorable michael mukasey former attorney general u department justice washington dcmr oscar vazquez former dreamer u veteran fort worth txmr peter kirsanow commissioner united state commission civil right cleveland ohm amita swadhin founder mirror memoir los angeles cam jayann sepich cofounder dna save carlsbad nmmr cornell brook president ceo naacp baltimore mdmr chuck canterbury national president fraternal order police washington dcmr david cole legal director aclu washington dcthe honorable larry thompson former deputy attorney general u department justice washington dcpanel iii honorable cory booker united state senator state new jerseymr willie huntley former assistant united state attorney southern district alabama mobile althe honorable john lewis united state representative th district georgiathe honorable jesse seroyer former united state marshal middle district alabama montgomery althe honorable cedric richmond united state representative nd district louisiana chair congressional black caucusmr william smith former chief counsel administrative oversight court subcommittee senate judiciary committee washington dc,0,1
‘ tolerant left ’ firebomb antimigration member ’ car…attack house germany high profile antimass migration member european parliament office attacked left wing radical thug berlin two week car firebombedbeatrix von storch mep member alternative fur deutschland afd party held massive demonstration german chancellor angela merkel immigration policy yesterday second attack m von storch weekaccording die welt mr von storch office pelted paint bomb rock overnight attack state protection office begun investigation incidentin previous attack m von storch car firebombed opponent angry criticism berlin brussels relation ongoing european migrant crisis two neighbouring car also destroyed arson attack densely populated residential area middle berlingood morning berlin row refugee deepens asylum activist attacked house afds von storch pictwittercomqmacpfpwp holger zschaepitz schuldensuehner november m von storch duchess oldenburg distant relative duke edinburgh trained lawyer spent year insolvency specialist entering politicsas breitbart london reported eurosceptic afd party campaign mass migration stand child german family platformafter coming close entering german parliament soon founding afd seat last year european parliament election sits european conservative reformist group alongside british conservative party mepsit representation five german state assembly widening appeal populist position law order immigration traditional social value via breitbart news,0,1
donald trump effigy burned across mexico easter ritual image traditionally mexico celebration holy week citizen gather street burn effigy infamous juda iscariot biblical character said betrayed jesusthis year however figure juda iscariot replaced effigy donald trumpaccording reuters mexico city poor la merced neighborhood hundred cheering resident yelled death various insult watched explosion grinning papierm ch mockup real estate tycoon replete blue blazer red tie trademark tuft blond hair reuters report similar ritual seen across mexico puebla monterreyaccording scholar holy week effigy burning way bringing people together helping unite around common enemyeffigies burned night easter celebrated throughout mexico black saturday black saturday burning effigy juda town like san miguel de allende rampant symbolizes treachery however mexican would also create effigy resemble corrupt satanic politician clear people mexico love donald trump would racist comment mexican people shockingly ignorant offensivetrump presidential campaign lit fire fury across entire country provoking angry comment government official sparking antitrump protest along mexicanamerican borderfelipe linares artist created papermache effigy trump burned mexico city told reuters family making juda iscariot effigy fifty yearswhen asked decided make trump effigy year linares said since started campaign began talking immigrant mexico mexican said got get guy image donald trump effigy created linares burning mexico cityyuri cortezafpgetty image featured image credit yuri cortezafpgetty image,0,1
